step,t,phi_body,Q_body,I_emit,I_body,I_escape,I_amb_e,I_amb_i,F_beam_N,F_beam_y_N,F_net_N,F_lorentz_z_N,F_lorentz_y_N,F_lorentz_beam_z_N,F_thrust_N,pct_body,pct_escape,pct_inflight,beam_escape_KE_mean
100,3.670877e-09,-2.703626e-02,-1.604775e-14,0.000000e+00,0.000000e+00,0.000000e+00,4.558045e-06,1.864050e-07,0.000000e+00,0.000000e+00,1.658962e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
200,7.341753e-09,-5.324908e-02,-3.160674e-14,0.000000e+00,0.000000e+00,0.000000e+00,4.460404e-06,2.219107e-07,0.000000e+00,0.000000e+00,-5.764658e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
300,1.101263e-08,-7.614070e-02,-4.519438e-14,0.000000e+00,0.000000e+00,0.000000e+00,3.972201e-06,2.707310e-07,0.000000e+00,0.000000e+00,-2.353712e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
400,1.468351e-08,-9.705606e-02,-5.760898e-14,0.000000e+00,0.000000e+00,0.000000e+00,3.599391e-06,2.174725e-07,0.000000e+00,0.000000e+00,1.276933e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
500,1.835438e-08,-1.158579e-01,-6.876910e-14,0.000000e+00,0.000000e+00,0.000000e+00,3.244334e-06,2.041578e-07,0.000000e+00,0.000000e+00,-1.794669e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
600,2.202526e-08,-1.341108e-01,-7.960336e-14,0.000000e+00,0.000000e+00,0.000000e+00,3.137817e-06,1.864050e-07,0.000000e+00,0.000000e+00,-2.562419e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
700,2.569614e-08,-1.473133e-01,-8.743988e-14,0.000000e+00,0.000000e+00,0.000000e+00,2.285680e-06,1.508993e-07,0.000000e+00,0.000000e+00,-4.563081e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
800,2.936701e-08,-1.588964e-01,-9.431516e-14,0.000000e+00,0.000000e+00,0.000000e+00,2.068207e-06,1.952814e-07,0.000000e+00,0.000000e+00,5.194980e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
900,3.303789e-08,-1.691345e-01,-1.003921e-13,0.000000e+00,0.000000e+00,0.000000e+00,1.868488e-06,2.130342e-07,0.000000e+00,0.000000e+00,5.147518e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
1000,3.670877e-08,-1.775884e-01,-1.054101e-13,0.000000e+00,0.000000e+00,0.000000e+00,1.606633e-06,2.396635e-07,0.000000e+00,0.000000e+00,-2.316042e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
1100,4.037964e-08,-1.854660e-01,-1.100859e-13,0.000000e+00,0.000000e+00,0.000000e+00,1.451296e-06,1.775285e-07,0.000000e+00,0.000000e+00,-1.605414e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
1200,4.405052e-08,-1.909007e-01,-1.133118e-13,0.000000e+00,0.000000e+00,0.000000e+00,1.113992e-06,2.352253e-07,0.000000e+00,0.000000e+00,-3.817579e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
1300,4.772140e-08,-1.957864e-01,-1.162118e-13,0.000000e+00,0.000000e+00,0.000000e+00,1.025227e-06,2.352253e-07,0.000000e+00,0.000000e+00,2.307032e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
1400,5.139227e-08,-1.996841e-01,-1.185253e-13,0.000000e+00,0.000000e+00,0.000000e+00,8.343841e-07,2.041578e-07,0.000000e+00,0.000000e+00,-2.278888e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
1500,5.506315e-08,-2.031425e-01,-1.205781e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.855638e-07,2.263489e-07,0.000000e+00,0.000000e+00,-1.860892e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
1600,5.873403e-08,-2.052285e-01,-1.218163e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.612938e-07,3.239896e-07,0.000000e+00,0.000000e+00,-2.050696e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
1700,6.240490e-08,-2.080282e-01,-1.234781e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.612938e-07,2.085960e-07,0.000000e+00,0.000000e+00,-2.134088e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
1800,6.607578e-08,-2.112671e-01,-1.254006e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.967995e-07,1.730903e-07,0.000000e+00,0.000000e+00,4.968178e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
1900,6.974666e-08,-2.132434e-01,-1.265736e-13,0.000000e+00,0.000000e+00,0.000000e+00,5.769677e-07,2.574164e-07,0.000000e+00,0.000000e+00,-2.842270e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
2000,7.341753e-08,-2.146981e-01,-1.274371e-13,0.000000e+00,0.000000e+00,0.000000e+00,5.015181e-07,2.662928e-07,0.000000e+00,0.000000e+00,-1.311209e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
2100,7.708841e-08,-2.154666e-01,-1.278932e-13,0.000000e+00,0.000000e+00,0.000000e+00,4.393831e-07,3.151131e-07,0.000000e+00,0.000000e+00,-6.002284e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
2200,8.075929e-08,-2.161528e-01,-1.283006e-13,0.000000e+00,0.000000e+00,0.000000e+00,4.482595e-07,3.373042e-07,0.000000e+00,0.000000e+00,5.717128e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
2300,8.443016e-08,-2.171135e-01,-1.288708e-13,0.000000e+00,0.000000e+00,0.000000e+00,4.882035e-07,3.328660e-07,0.000000e+00,0.000000e+00,1.352855e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
2400,8.810104e-08,-2.181291e-01,-1.294736e-13,0.000000e+00,0.000000e+00,0.000000e+00,4.837652e-07,3.195514e-07,0.000000e+00,0.000000e+00,-8.218627e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
2500,9.177192e-08,-2.188427e-01,-1.298972e-13,0.000000e+00,0.000000e+00,0.000000e+00,4.438213e-07,3.284278e-07,0.000000e+00,0.000000e+00,-3.686458e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
2600,9.544279e-08,-2.200779e-01,-1.306303e-13,0.000000e+00,0.000000e+00,0.000000e+00,5.148327e-07,3.151131e-07,0.000000e+00,0.000000e+00,-8.428238e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
2700,9.911367e-08,-2.212033e-01,-1.312983e-13,0.000000e+00,0.000000e+00,0.000000e+00,5.680913e-07,3.861246e-07,0.000000e+00,0.000000e+00,-1.083735e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
2800,1.027845e-07,-2.232070e-01,-1.324876e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.568556e-07,3.328660e-07,0.000000e+00,0.000000e+00,1.245629e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
2900,1.064554e-07,-2.244970e-01,-1.332534e-13,0.000000e+00,0.000000e+00,0.000000e+00,5.680913e-07,3.594953e-07,0.000000e+00,0.000000e+00,8.672463e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
3000,1.101263e-07,-2.258145e-01,-1.340354e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.124734e-07,3.994392e-07,0.000000e+00,0.000000e+00,-1.080779e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
3100,1.137972e-07,-2.278182e-01,-1.352247e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.879231e-07,3.639335e-07,0.000000e+00,0.000000e+00,-2.206395e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
3200,1.174681e-07,-2.303160e-01,-1.367073e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.855638e-07,3.816863e-07,0.000000e+00,0.000000e+00,-2.158620e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
3300,1.211389e-07,-2.328961e-01,-1.382388e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.678109e-07,3.506188e-07,0.000000e+00,0.000000e+00,2.830713e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
3400,1.248098e-07,-2.357507e-01,-1.399331e-13,0.000000e+00,0.000000e+00,0.000000e+00,8.476987e-07,3.861246e-07,0.000000e+00,0.000000e+00,1.655482e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
3500,1.284807e-07,-2.375074e-01,-1.409758e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.012377e-07,4.171920e-07,0.000000e+00,0.000000e+00,2.104078e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
3600,1.321516e-07,-2.402796e-01,-1.426213e-13,0.000000e+00,0.000000e+00,0.000000e+00,8.077548e-07,3.594953e-07,0.000000e+00,0.000000e+00,-4.515910e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
3700,1.358224e-07,-2.420088e-01,-1.436477e-13,0.000000e+00,0.000000e+00,0.000000e+00,6.923613e-07,4.127538e-07,0.000000e+00,0.000000e+00,3.633575e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
3800,1.394933e-07,-2.439576e-01,-1.448045e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.411816e-07,4.260685e-07,0.000000e+00,0.000000e+00,-1.080171e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
3900,1.431642e-07,-2.463182e-01,-1.462056e-13,0.000000e+00,0.000000e+00,0.000000e+00,7.944402e-07,4.127538e-07,0.000000e+00,0.000000e+00,-8.921295e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
4000,1.468351e-07,-2.484317e-01,-1.474601e-13,0.000000e+00,0.000000e+00,0.000000e+00,8.610134e-07,5.192710e-07,0.000000e+00,0.000000e+00,-5.004145e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
4100,1.505059e-07,4.479400e-02,2.658811e-14,4.765736e-05,0.000000e+00,0.000000e+00,6.879231e-07,4.438213e-07,0.000000e+00,0.000000e+00,-8.846683e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
4200,1.541768e-07,2.170283e+00,1.288202e-12,3.445784e-04,0.000000e+00,0.000000e+00,1.415790e-06,5.192710e-07,0.000000e+00,0.000000e+00,-4.893504e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.0000,0.0000,100.0000,nan
